# nprocs, nthreads, total, comm, grid, idle, write
4,1,42.268033,0.402994,41.596423,0.000748,0.626833
4,1,42.052312,0.327806,41.535005,0.000727,0.474282
4,1,42.008964,0.321110,41.524100,0.000736,0.439125
4,1,42.164310,0.331189,41.521215,0.000735,0.593504
4,1,41.939440,0.257358,41.464811,0.000727,0.423676
4,2,21.391639,0.062676,20.668731,0.064142,0.660649
4,2,21.387702,0.066652,20.673956,0.068212,0.663548
4,2,21.498445,0.083952,20.665468,0.085480,0.761812
4,2,21.509136,0.065706,20.665274,0.067284,0.781679
4,2,21.587784,0.067695,20.668681,0.069265,0.858402
4,3,14.564724,0.093215,13.828765,0.109687,0.680941
4,3,14.571191,0.101206,13.837296,0.117955,0.679912
4,3,14.679708,0.093640,13.826385,0.112834,0.794927
4,3,14.546210,0.101796,13.835524,0.123140,0.660999
4,3,14.839926,0.099550,13.831225,0.118264,0.950603
4,4,11.407418,0.052415,10.363512,0.076154,0.988729
4,4,11.184179,0.051824,10.357254,0.064257,0.774049
4,4,11.497023,0.053336,10.364095,0.073200,1.081045
4,4,11.518760,0.053023,10.357744,0.068445,1.107884
4,4,11.340717,0.061443,10.365424,0.081431,0.915437
4,5,9.433610,0.046585,8.284271,0.067116,1.090697
4,5,9.098635,0.053266,8.285729,0.069610,0.748592
4,5,9.304067,0.044138,8.285812,0.064673,0.964803
4,5,9.465882,0.049457,8.284371,0.072560,1.119061
4,5,9.845672,0.040025,8.281738,0.060077,1.512757
4,6,8.472950,0.056587,6.939231,0.079149,1.476659
4,6,7.972020,0.049867,6.933234,0.071214,0.977310
4,6,8.003574,0.056665,6.942321,0.079471,1.002903
4,6,8.078436,0.054911,6.940072,0.065485,1.088537
4,6,8.155962,0.050596,6.937275,0.071613,1.166229
4,7,7.284724,0.050885,5.943536,0.062108,1.289863
4,7,7.052419,0.045955,5.946566,0.058869,1.061145
4,7,7.147605,0.041684,5.941190,0.055485,1.159669
4,7,6.902624,0.057179,5.948389,0.071233,0.899054
